#Collected Data-11
#Intensity_unit=cps
48.4252	21.0164
48.4302	3.7827
48.4352	11.1386
48.4402	9.4547
48.4452	17.6540
48.4502	23.9571
48.4552	10.5075
48.4602	8.6155
48.4652	7.1465
48.4702	12.3982
48.4752	6.5140
48.4802	11.1386
48.4852	7.1451
48.4902	16.3890
48.4952	25.8505
48.5002	9.4574
48.5052	24.3761
48.5102	20.1758
48.5152	15.9701
48.5202	11.5589
48.5252	21.0150
48.5302	10.9278
48.5352	18.9149
48.5402	4.8328
48.5452	7.1451
48.5502	13.8699
48.5552	26.0573
48.5602	14.9213
48.5652	7.1465
48.5702	10.7170
48.5752	25.0072
48.5802	29.2102
48.5852	34.4660
48.5902	7.1451
48.5952	10.5075
48.6002	27.3195
48.6052	17.2323
48.6102	9.8777
48.6152	0.0000
48.6202	21.2232
48.6252	19.1257
48.6302	12.3982
48.6352	11.1386
48.6402	36.3540
48.6452	3.9949
48.6502	1.2596
48.6552	33.4146
48.6602	5.2531
48.6652	14.2902
48.6702	5.2544
48.6752	26.6884
48.6802	33.6213
48.6852	8.4087
48.6902	16.3931
48.6952	0.0000
48.7002	21.6448
48.7052	24.3761
48.7102	16.8134
48.7152	9.8764
48.7202	24.1666
48.7252	17.6540
48.7302	31.3117
48.7352	21.0150
48.7402	19.1230
48.7452	22.9070
48.7502	18.7040
48.7552	11.1386
48.7602	33.2024
48.7652	45.5992
48.7702	45.6073
48.7752	8.8250
48.7802	4.6246
48.7852	1.8907
48.7902	26.2681
48.7952	17.6526
48.8002	7.9871
48.8052	0.2095
48.8102	16.6025
48.8152	1.0501
48.8202	10.5075
48.8252	16.1795
48.8302	11.5603
48.8352	17.2323
48.8402	23.7463
48.8452	17.4431
48.8502	25.2167
48.8552	17.0228
48.8602	19.1230
48.8652	14.2916
48.8702	3.7827
48.8752	4.4138
48.8802	19.3311
48.8852	10.9305
48.8902	17.4418
48.8952	14.9200
48.9002	11.3495
48.9052	11.9779
48.9102	9.4561
48.9152	18.9149
48.9202	9.8764
48.9252	20.8042
48.9302	21.6448
48.9352	30.4725
48.9402	11.3495
48.9452	12.3968
48.9502	19.1243
48.9552	8.8277
48.9602	13.2388
48.9652	17.0228
48.9702	11.3468
48.9752	14.0780
48.9802	40.9800
48.9852	26.2708
48.9902	4.8341
48.9952	15.5498
49.0002	17.8634
49.0052	23.9571
49.0102	7.7749
49.0152	16.6025
49.0202	18.7027
49.0252	25.2153
49.0302	27.9533
49.0352	7.7762
49.0402	9.8764
49.0452	7.1451
49.0502	16.6025
49.0552	33.4119
49.0602	6.9370
49.0652	7.1438
49.0702	22.0664
49.0752	9.8764
49.0802	17.8634
49.0852	14.0794
49.0902	13.6604
49.0952	21.6448
49.1002	16.1822
49.1052	10.9265
49.1102	17.8648
49.1152	27.7371
49.1202	9.2493
49.1252	17.0215
49.1302	3.1529
49.1352	0.0000
49.1402	13.0280
49.1452	15.7619
49.1502	8.1965
49.1552	8.1938
49.1602	28.1601
49.1652	14.0821
49.1702	0.0000
49.1752	4.4125
49.1802	10.0859
49.1852	30.0508
49.1902	11.5603
49.1952	19.3325
49.2002	41.3989
49.2052	31.7334
49.2102	17.4431
49.2152	40.1394
49.2202	13.8699
49.2252	10.5075
49.2302	23.9571
49.2352	19.9636
49.2402	21.0150
49.2452	34.2552
49.2502	30.6819
49.2552	18.2824
49.2602	24.3774
49.2652	23.9585
49.2702	20.3826
49.2752	12.6104
49.2802	3.9935
49.2852	20.3839
49.2902	7.1451
49.2952	18.2824
49.3002	21.0150
49.3052	22.4867
49.3102	12.8185
49.3152	34.4646
49.3202	40.3461
49.3252	1.2649
49.3302	0.0000
49.3352	1.0501
49.3402	18.7027
49.3452	21.4340
49.3502	5.8869
49.3552	32.9929
49.3602	20.1731
49.3652	17.4445
49.3702	0.0000
49.3752	4.2003
49.3802	40.5597
49.3852	19.5446
49.3902	22.2746
49.3952	23.7490
49.4002	7.1451
49.4052	21.4326
49.4102	33.8362
49.4152	28.7899
49.4202	18.4946
49.4252	14.7078
49.4302	34.2578
49.4352	13.6564
49.4402	39.7204
49.4452	14.2902
49.4502	13.0307
49.4552	1.0501
49.4602	17.2323
49.4652	18.7040
49.4702	12.3982
49.4752	11.1386
49.4802	3.1516
49.4852	17.8608
49.4902	19.3365
49.4952	17.8621
49.5002	8.6155
49.5052	22.4867
49.5102	29.8386
49.5152	28.1628
49.5202	20.1731
49.5252	21.2258
49.5302	13.6604
49.5352	21.6448
49.5402	9.4574
49.5452	14.2889
49.5502	11.1400
49.5552	11.5562
49.5602	15.1322
49.5652	20.5947
49.5702	15.1295
49.5752	22.4854
49.5802	29.0021
49.5852	21.4340
49.5902	25.0099
49.5952	17.8634
49.6002	10.0872
49.6052	6.9343
49.6102	7.7749
49.6152	16.6025
49.6202	9.0371
49.6252	17.6499
49.6302	18.2851
49.6352	7.7762
49.6402	26.6884
49.6452	21.0137
49.6502	26.9006
49.6552	11.5576
49.6602	12.8198
49.6652	17.2323
49.6702	29.6305
49.6752	25.8465
49.6802	13.2428
49.6852	13.8686
49.6902	17.0228
49.6952	30.4698
49.7002	24.1693
49.7052	29.6292
49.7102	18.2851
49.7152	13.8699
49.7202	10.7183
49.7252	0.0000
49.7302	1.2596
49.7352	18.9149
49.7402	0.0000
49.7452	3.7814
49.7502	11.9792
49.7552	16.6012
49.7602	34.2538
49.7652	24.5882
49.7702	20.3852
49.7752	14.9200
49.7802	21.4367
49.7852	13.4496
49.7902	13.6577
49.7952	29.4224
49.8002	13.8699
49.8052	31.1009
